|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
279670|2015-07-27|('45.833', '6.815')|#chamonix|5|False|2|139.5235426569852
497480|2015-12-06|('46.205', '6.143')|#lrt|5|False|2|139.20594160371806
158498|2015-05-28|('46.813', '8.224')|#blatter|6|False|2|138.93175438517721
454940|2015-11-15|('47.567', '7.600')|#basel|5|False|2|136.7740348977913
115559|2015-05-05|('47.369', '8.538')|#finance20|5|False|2|135.40944313041422
81636|2015-03-02|('46.205', '6.143')|#hrc28|13|False|2|134.4191369022617
502171|2015-12-09|('47.560', '7.583')|#brw15|5|False|2|133.1815341721383
244066|2015-07-09|('47.377', '8.537')|#futurefrenchcuisine|54|False|2|129.54628282386346
77209|2015-02-27|('47.377', '8.537')|#srfarena|8|False|2|128.86963439565906
390880|2015-09-16|('47.560', '7.583')|#askacurator|15|False|2|126.48971921332843
535739|2015-12-28|('45.833', '6.815')|#chamonix|5|False|2|125.63603587789262
169911|2015-06-02|('46.205', '6.143')|#pkday|6|False|2|125.44562997668318
502457|2015-12-09|('46.205', '6.143')|#aldubikawatako|11|False|2|125.44515330455496
134723|2015-05-16|('45.988', '9.213')|#whoismagnus|5|False|2|125.31664179633569
184401|2015-06-09|('46.205', '6.143')|#costarica|6|False|2|122.06733623544542
146512|2015-05-22|('46.205', '6.143')|#globalhealth|5|False|2|121.37928964842212
297029|2015-08-05|('47.455', '8.287')|#sales|5|False|2|120.68304861173426
81610|2015-03-02|('46.228', '6.143')|#hrc28|38|False|2|119.98215854097533
271434|2015-07-23|('47.455', '8.287')|#sales|5|False|2|119.54386428792107
428309|2015-11-02|('46.954', '7.395')|#np|6|False|2|118.81378858543604
121256|2015-05-08|('47.377', '8.537')|#zekialasya|5|False|2|118.34699667597071
193736|2015-06-14|('46.205', '6.143')|#yemen|9|False|2|118.20887560418187
303203|2015-08-08|('46.520', '6.633')|#lausanne|14|False|2|117.30291241505651
158347|2015-05-28|('46.813', '8.224')|#fifa|14|False|2|115.94378493119989
409587|2015-10-24|('47.377', '8.537')|#whattoeatinfrance|7|False|2|113.81507094471128
19275|2015-01-13|('47.377', '8.537')|#agondola|5|False|2|110.8639634867886
201814|2015-06-18|('47.560', '7.583')|#rotblaulive|7|False|2|110.41681845708986
108902|2015-05-01|('45.988', '9.213')|#shadowhunters|5|False|2|110.17375721004424
339586|2015-08-25|('47.455', '8.287')|#it|6|False|2|108.92886978592732
245633|2015-07-10|('46.205', '6.143')|#migration|7|False|2|108.62241717284539
285566|2015-07-30|('47.377', '8.537')|#syria|14|False|2|108.30510670995982
205509|2015-06-20|('47.565', '7.601')|#artbasel|10|False|2|106.87042155235366
364836|2015-09-03|('47.722', '7.283')|#tpmp|7|False|2|106.56990285728578
402758|2015-09-21|('47.455', '8.287')|#daettwil|5|False|2|105.64431708962547
21027|2015-01-14|('46.813', '8.224')|#germaninswitzerland|8|False|2|105.5563151928076
285577|2015-07-30|('47.377', '8.537')|#cecilthelion|5|False|2|105.31294707785088
498822|2015-12-07|('45.833', '6.815')|#chamonix|5|False|2|104.84817891705235
338040|2015-08-24|('46.486', '9.807')|#stmoritz2017|9|False|2|104.72919255055302
414888|2015-10-26|('47.377', '8.537')|#pokert|15|False|2|103.5236954208081
171660|2015-06-03|('46.620', '8.041')|#grindelwald|7|False|2|102.21539925962716
510719|2015-12-13|('46.813', '8.224')|#mtvstars|99|False|2|101.28083699573617
